"CODIGO","PRODUCTO","UBICACION","PRECIO","CANTIDAD"
"21042.0","","","0.0",""
"","REF.MDD200 16 LINEAS ( PARA EXPOACTIVA )","","0.0","1.0"
"","REVISTA ARU GANADERIA EXPO PRADO","","0.0",""
"21045.0","CABEZAL MAICERO MAINERO MDD200 DE 14 LINEAS P/ROLOS STD","ZE","USD -   ","0.0"
"21046.0","CABEZAL MAICERO MAINERO MDD200 DE 18 LINEAS P/ROLOS STD","ZE","USD -   ","0.0"
"21047.0","CABEZAL MAICERO MAINERO MDD200 DE 18 LINEAS P/ROLOS STD","ZE","USD -   ","0.0"
"36132.0","CABEZAL MAICERO MAINERO MDD200 DE 16 LINEAS P/ROLOS STD","ZE","USD -   ","0.0"
"51542.0","MIXER MOD.2810","","","0.0"
"51561.0","MIXER 2921 PLUS, 10M3, EJE BALANCIN,CON BASCULA 8 FORMULAS Y NEMATICOS","ZE","USD -   ",""
"51744.0","CARRO C/NEUMATICOS","ZE","USD -   ","0.0"
"51791.0","CARRO DE TRANSPORTE C/NEUMATICOS","ZE","USD -   ","1.0"
"51857.0","CARRO DE TRANSPORTE CON NEUMATICOS","ZE","USD -   ","0.0"
"52750.0","EXTRACTOR MOD.2330 - NUEVO","ZE","USD 32.306,82 ","0.0"
"","","","(blank)",""
"52756.0","EXTRACTOR AUT. P/GRANOS SECOS MOD.2340","ZE","USD 15.000,00 ","0.0"
"53109.0","MOD.6027 CORTADORA HILERADORA DE FORRAJES MAINERO","0.0","0.0","0.0"
"53130.0","SEGADORA ACONDIC. MAINERO 6 DISCOS MOD.6060","ZE","USD 41.632,50 ","0.0"
"53313.0","RASTRILLO ENTREGA LATERAL 8 RUEDAS MOD.5940","ZE","USD 16.153,41 ","0.0"
"54075.0","ROTOENF. MAINERO CON RECOLECTOR MOD.5885","ZE","USD 44.300,00 ","0.0"
"63132.0","MDD-200 16 LINEAS ROLOS STANDARD, CON KIT ADAPT(81086)","ZE","USD -   ",""
"525052.0","DISTRIB. DE FORRAJE MAINERO MOD.B-400","ZE","USD 10.800,00 ","0.0"
"540311.0","ROTOENF. PRENSADOR MEC. MOD.5810","ZE","USD 6.500,00 ","0.0"
"3000043.0","RODAMIENTO 2AH06-1""V4","G","USD -   ","2.0"
"3000046.0","RODAMIENTO A BOLAS 205 HEXAGONAL","G","USD -   ","8.0"
"10002867.0","BULON M8 X 55","G","USD -   ","25.0"
"10003064.0","TUERCA HEX.CAB.FLAN M8 X 1,25","G","USD -   ","25.0"
"20600132.0","ANILLO SEGUR.P-EJE DIN-471- 35 X 1,50","E24","USD 2,10 ","5.0"
"20600135.0","ANILLO SEGUR.P-EJE DIN-471- 38 X 1,75","E24","USD 1,38 ","50.0"
"20600137.0","ANILLO SEGUR.P-EJE DIN-471- 40 X 1,75","E24","USD 2,98 ","4.0"
"20600141.0","ANILLO SEGUR.P-EJE DIN-471- 45 X 1,75","E24","USD 3,51 ","10.0"
"20600144.0","ANILLO SEGUR.P-EJE DIN-471 48 X 1,75","E24","USD 2,16 ","11.0"
"20600152.0","ANILLO SEGUR.P-EJE DIN-471- 60 X 2,00","E24","USD 4,10 ","2.0"
"20601132.0","ANILLO SEGUR.P-AGUJ.DIN-472- 40 X 1,75","E24","USD 2,80 ","31.0"
"20601143.0","ANILLO SEGUR.P-AGUJ.DIN-472- 52 X 2,00","E24","USD 4,66 ","26.0"
"20601151.0","ANILLO SEGUR.P-AGUJ.DIN-472 62 X 2","E24","USD 6,49 ","50.0"
